#	########################################
#	##### Peptide Assembling #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./filtered.psm.txt
#	
#	pep{Run1} = ./filtered.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 28
#	Target_Proteins_Before_Filtering = 3867
#	Total_Proteins_Before_Filtering = 3895
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 25
#	Target_Proteins_After_Filtering = 2839
#	Total_Proteins_After_Filtering = 2864
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.00873
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
Rev_glucose|contig-30367000004_1	1	1	2	2	2.0	2.0	N/A	F
Rev_merged|17318_23	1	1	1	1	1.0	1.0	N/A	F
Rev_merged|25585_3	1	1	1	1	1.0	1.0	N/A	F
Rev_merged|3561_3	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|12372_7	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|12480_1	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|13738_28	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|17574_5	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|19509_18	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|26543_2	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|32812_5	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|36220_7	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|41138_1	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_merged|6629_79	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_t0|contig-128787000008_8	1	1	1	1	1.0	1.0	N/A	F
Rev_shuffle_t0|contig-2419000009_2	1	1	1	1	1.0	1.0	N/A	F
Rev_t0|contig-1203000001_1	1	1	1	1	1.0	1.0	N/A	F
Rev_t0|contig-129345000004_8	1	1	1	1	1.0	1.0	N/A	F
Rev_t0|contig-2499000015_1	1	1	1	1	1.0	1.0	N/A	F
Rev_t0|contig-4482000011_1	1	1	1	1	1.0	1.0	N/A	F
Rev_t0|contig-49966000000_1	1	1	1	1	1.0	1.0	N/A	F
Rev_t0|contig-69816000009_1	1	1	1	1	1.0	1.0	N/A	F
Rev_t0|contig-86953000004_1	1	1	1	1	1.0	1.0	N/A	F
